20.0 # 80.0 # 0.0 # 1.5 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
带着	843	119.08233	7.17584	5.63193	5.63193	7.17584
章 	831	1813.36311	9.18047	6.75715	6.75715	9.18047
充斥着	488	113.82027	7.32732	5.06588	5.06588	7.32732
不少人	457	86.77706	5.39646	4.46602	4.46602	5.39646
感受着	457	127.74357	5.25675	2.17504	2.17504	5.25675
地妖傀	347	1655.67380	5.54539	4.60496	4.60496	5.54539
天空之上	332	189.17970	3.88048	3.30069	3.88048	3.30069
之事	324	101.79936	6.53662	1.64126	6.53662	1.64126
死死的盯着	283	1280.78120	5.23336	2.96547	2.96547	5.23336
借助着	279	104.85933	7.10299	3.98143	3.98143	7.10299
无数人	265	105.95599	5.94552	4.48825	4.48825	5.94552
广场上	247	137.54627	3.99961	3.99694	3.99961	3.99694
抱着	235	94.17800	6.74809	5.35107	5.35107	6.74809
保持着	234	91.99827	6.21255	5.37751	5.37751	6.21255
米特尔家族	222	1814.90680	5.69169	5.04943	5.69169	5.04943
说过	215	107.88702	4.92158	1.75857	4.92158	1.75857
这股	213	137.18682	5.48317	3.76275	3.76275	5.48317
瞧着	209	86.13781	4.87546	3.00441	3.00441	4.87546
抬头望着	208	124.58113	4.71026	2.71157	2.71157	4.71026
散发着	196	108.94461	5.62886	4.96599	4.96599	5.62886
天妖傀	175	2089.39136	4.44181	4.00538	4.00538	4.44181
隐隐有着	172	130.92067	6.06578	3.96352	3.96352	6.06578
目光望向	159	95.74804	5.68117	2.22800	2.22800	5.68117
涌上一抹	159	1046.54099	5.98574	4.13543	4.13543	5.98574
将目光投向	156	173.68813	5.31303	4.17170	4.17170	5.31303
为之	156	86.16800	6.03906	4.94029	4.94029	6.03906
炼药师公会	144	13021.91246	4.66714	4.54641	4.66714	4.54641
一道身影	142	112.10430	4.86781	2.21665	2.21665	4.86781
有着许些	138	98.72481	6.78230	3.79039	3.79039	6.78230
那些家伙	138	102.82065	5.18210	4.65516	4.65516	5.18210
携带着	138	111.84492	5.74333	4.29398	4.29398	5.74333
太虚古龙一族	135	14183.31022	4.70458	4.27370	4.70458	4.27370
并不会	134	343.85641	6.21673	4.22593	4.22593	6.21673
忽然间	133	94.63256	5.73052	4.50702	4.50702	5.73052
眼中掠过一抹	128	430.88928	5.89896	3.13383	3.13383	5.89896
大陆上	128	150.94384	4.48055	4.29713	4.29713	4.48055
低声喃喃道	127	920.40393	2.40266	1.56320	2.40266	1.56320
走到	123	102.10974	5.07409	4.93132	5.07409	4.93132
有些感到	122	95.70678	6.05858	3.82375	3.82375	6.05858
七彩吞天蟒	119	2347.50592	4.45370	4.15014	4.45370	4.15014
眼瞳中	119	92.22917	4.09806	3.34767	3.34767	4.09806
嘴中传出	117	361.14142	4.71064	2.08002	4.71064	2.08002
好片刻	116	80.67682	1.85191	1.78346	1.85191	1.78346
中州上	116	84.99556	4.27879	3.44436	3.44436	4.27879
看向	115	208.34867	4.24455	4.15607	4.15607	4.24455
米特尔腾山	111	6330.39492	5.63606	3.24073	3.24073	5.63606
大厅之中	110	126.67360	3.07061	2.81908	3.07061	2.81908
森林中	108	105.22085	4.27928	4.17198	4.27928	4.17198
谁能	103	92.54414	4.41980	2.23928	2.23928	4.41980
还没	103	80.76725	5.31625	4.42570	4.42570	5.31625
却并没有	100	412.20669	6.04876	3.21550	3.21550	6.04876
二品炼药师	100	1068.07528	4.36719	3.42858	4.36719	3.42858
这么大	97	303.93783	5.05357	1.55566	5.05357	1.55566
六品炼药师	97	920.20324	4.19227	2.85421	4.19227	2.85421
九章 	96	1833.00243	6.49377	4.27528	4.27528	6.49377
表面上	95	149.72380	5.54564	3.68883	5.54564	3.68883
有可能	94	211.22941	5.32133	2.96849	2.96849	5.32133
火属姓能量	93	526.89402	4.03140	2.06144	2.06144	4.03140
进入其中	91	88.64620	5.96082	2.55049	5.96082	2.55049
房间中	90	82.77374	4.00310	3.69220	3.69220	4.00310
斗气大陆上	90	121.58023	3.73176	3.20101	3.73176	3.20101
丝毫不	90	92.45871	4.65116	3.89780	3.89780	4.65116
空间波动	89	118.44835	3.50801	2.98641	2.98641	3.50801
代表着	87	85.28011	5.04212	4.69879	4.69879	5.04212
还请	87	130.56276	5.39140	1.68794	1.68794	5.39140
地面之上	86	83.90576	2.71482	1.97452	2.71482	1.97452
足以让得	86	383.90878	4.55966	3.21857	3.21857	4.55966
瞧出	86	168.02759	4.22931	3.64737	3.64737	4.22931
显得有些	84	85.91408	6.19285	3.97645	3.97645	6.19285
探出	84	571.98248	4.15241	1.70136	4.15241	1.70136
炼制出来	83	89.11231	5.01806	2.20278	5.01806	2.20278
一名斗宗强者	83	287.23421	4.81530	3.81249	4.81530	3.81249
缓缓浮现	81	84.15665	3.76135	1.97104	3.76135	1.97104
望着那张	81	98.12902	5.09548	2.28601	2.28601	5.09548
炼药师大会	81	373.76181	3.72178	3.63179	3.72178	3.63179
人群中	79	81.57591	3.92286	3.89691	3.92286	3.89691
灵魂波动	79	132.82063	3.62143	2.62941	2.62941	3.62143
头顶上	78	169.22986	4.79445	3.72237	4.79445	3.72237
黑袍下	76	138.85910	2.27256	2.10414	2.27256	2.10414
萧炎略微	76	5421.74170	3.42470	1.77599	1.77599	3.42470
能够算做	76	247.87773	5.30630	3.31379	3.31379	5.30630
不会比	75	90.17316	5.20035	4.05749	4.05749	5.20035
青色斗气	75	171.91070	4.83166	2.74556	2.74556	4.83166
大殿之中	75	106.95480	3.40685	2.58610	3.40685	2.58610
望着那道	74	83.71959	5.70784	2.67035	2.67035	5.70784
半空上	74	84.67437	3.66340	2.22171	3.66340	2.22171
一章 	74	1559.10551	6.15540	4.16531	4.16531	6.15540
很多人都	73	114.66994	4.41718	2.75367	2.75367	4.41718
有多少	72	89.00074	5.27368	4.35798	4.35798	5.27368
打得	72	86.13842	5.41625	4.92378	4.92378	5.41625
三纹青灵丹	72	19627.40909	3.78142	3.57582	3.78142	3.57582
岩枭先生	71	2212.66204	3.07426	2.59427	2.59427	3.07426
在场中	71	80.02363	4.69596	4.64876	4.64876	4.69596
进入修炼状态	71	811.51859	4.29100	1.98149	4.29100	1.98149
