20.0 # 40.0 # 0.0 # 1.0 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
萧炎	44477	56.90328	8.34041	4.69988	4.69988	8.34041
令得	2154	66.94484	6.15161	4.03623	4.03623	6.15161
异火	2153	57.93440	6.18367	5.47363	6.18367	5.47363
听得	1970	60.18430	6.24338	2.21533	2.21533	6.24338
紫研	1419	701.13603	6.79713	4.91935	4.91935	6.79713
纳兰	1284	741.42784	4.58498	1.47031	4.58498	1.47031
韩枫	953	1315.95708	7.18807	5.08946	5.08946	7.18807
魂殿	897	103.97270	5.73556	5.54795	5.73556	5.54795
斗皇	892	94.79750	5.45420	3.16312	5.45420	3.16312
苏千	842	558.08755	6.47207	4.06888	4.06888	6.47207
药鼎	704	90.21435	5.00712	3.87745	5.00712	3.87745
斗尊	696	43.95327	5.33022	3.23932	5.33022	3.23932
重尺	691	201.96845	6.13513	3.89923	3.89923	6.13513
闪掠	681	127.95959	6.50245	2.41661	6.50245	2.41661
雅妃	679	3190.06951	7.16988	3.22178	3.22178	7.16988
古族	649	51.74077	5.69349	5.65321	5.69349	5.65321
喝声	645	48.02008	4.96596	3.02233	4.96596	3.02233
纳戒	627	516.14573	4.83166	3.42755	4.83166	3.42755
云韵	614	467.31710	6.70123	4.40292	4.40292	6.70123
火莲	592	41.38870	4.88615	4.59108	4.59108	4.88615
丹塔	559	165.43980	5.57978	5.19046	5.57978	5.19046
柳擎	554	1416.65575	6.52331	4.53982	4.53982	6.52331
杀意	545	106.69588	4.85225	3.64649	4.85225	3.64649
陨阁	545	675.52852	5.57678	1.78571	1.78571	5.57678
老鬼	523	71.16331	6.20670	1.20100	1.20100	6.20670
斗圣	522	61.61327	5.12400	3.83459	5.12400	3.83459
吴昊	522	4505.46518	6.17023	4.43973	4.43973	6.17023
斗王	493	42.93142	5.59814	2.93052	5.59814	2.93052
袖袍	458	612.86285	3.95915	2.91997	2.91997	3.95915
劲气	453	49.68426	4.07162	4.02743	4.02743	4.07162
古元	451	342.56730	5.82583	3.89712	3.89712	5.82583
轻叹	447	77.42065	4.39056	1.60132	4.39056	1.60132
法犸	428	602.28094	6.32386	3.77032	3.77032	6.32386
林焱	391	680.98423	6.39023	3.86973	3.86973	6.39023
加列	382	336.54698	4.54746	1.86648	4.54746	1.86648
刚欲	352	301.00797	5.95118	1.19715	1.19715	5.95118
殿主	347	117.41922	5.73814	2.70445	2.70445	5.73814
曹颖	341	3845.24872	5.82351	4.88265	4.88265	5.82351
美眸	334	138.26403	5.40753	3.55597	3.55597	5.40753
叶重	310	139.45706	5.83101	3.82636	3.82636	5.83101
姓子	307	55.14114	3.78704	3.60800	3.78704	3.60800
白程	300	158.14222	6.33996	4.07607	4.07607	6.33996
唐震	296	667.24759	5.63250	4.09814	4.09814	5.63250
半圣	285	112.59724	5.13304	3.28395	5.13304	3.28395
范痨	284	3604.35834	6.34938	4.34405	4.34405	6.34938
晋入	283	298.81821	5.97384	4.70571	5.97384	4.70571
焚决	282	547.84354	3.91330	3.39786	3.91330	3.39786
天墓	275	108.42776	4.58804	4.56965	4.56965	4.58804
云芝	273	393.95288	6.16787	3.18189	3.18189	6.16787
彩鳞	265	491.20881	5.33431	3.14918	3.14918	5.33431
欣蓝	258	1288.37152	5.82733	4.03372	4.03372	5.82733
药尘	255	72.48074	4.99691	4.89573	4.99691	4.89573
磐门	254	550.18075	4.27721	4.11125	4.11125	4.27721
青鳞	252	118.71574	5.96884	3.78092	3.78092	5.96884
残影	242	121.28295	4.45103	4.44553	4.44553	4.45103
琥嘉	240	5068.06617	5.36960	3.54108	3.54108	5.36960
翎泉	234	1607.91025	5.81048	4.06630	4.06630	5.81048
微眯	230	41.77224	2.46944	1.01401	2.46944	1.01401
灰袍	223	192.01946	4.40234	3.33298	4.40234	3.33298
柳翎	220	834.98460	5.95473	3.84782	3.84782	5.95473
玄阶	195	123.59245	5.17532	3.19591	5.17532	3.19591
韩雪	194	323.60907	5.53822	4.26180	4.26180	5.53822
九幽	192	298.04424	5.36524	1.34072	5.36524	1.34072
骨翼	191	127.17730	4.80909	3.96467	3.96467	4.80909
战圈	189	146.42854	3.91048	3.32177	3.91048	3.32177
穆蛇	182	615.42199	5.93963	2.88088	2.88088	5.93963
姚盛	181	2554.16760	5.43509	4.10094	4.10094	5.43509
紧皱	180	55.78137	2.02798	1.94486	1.94486	2.02798
秘法	179	118.98361	4.90024	4.53402	4.90024	4.53402
沈云	179	472.51116	5.60768	4.23711	4.23711	5.60768
黑擎	176	77.28447	5.80096	4.47994	4.47994	5.80096
俏脸	173	68.66065	5.39768	3.93834	3.93834	5.39768
森冷	167	55.80228	5.01291	3.40856	5.01291	3.40856
血潭	163	363.07874	4.96937	1.86941	1.86941	4.96937
凶兽	163	129.25780	4.73196	4.04381	4.04381	4.73196
烛离	160	567.37214	3.30120	2.83565	3.30120	2.83565
倾洒	157	2370.12331	4.84095	1.32587	4.84095	1.32587
强榜	156	106.32425	2.01346	1.96136	1.96136	2.01346
花宗	156	68.60459	5.08906	4.56695	5.08906	4.56695
银芒	155	161.15203	4.65060	4.42074	4.42074	4.65060
韩闲	153	437.86355	5.30745	4.36127	4.36127	5.30745
龙兽	152	64.72438	5.38228	1.00728	1.00728	5.38228
搔动	150	188.58320	4.06346	2.50824	4.06346	2.50824
修崖	147	145.60311	5.10067	2.95616	2.95616	5.10067
森白	146	41.80281	3.96229	1.44548	3.96229	1.44548
魔核	142	227.48600	4.52138	4.06452	4.52138	4.06452
琥乾	141	4152.46206	5.83555	3.84634	3.84634	5.83555
夭夜	141	4115.96618	5.43506	3.18594	3.18594	5.43506
曹家	139	76.93757	5.56184	4.94591	4.94591	5.56184
印结	137	126.58675	3.35730	2.85437	3.35730	2.85437
韩月	135	117.36087	5.88392	3.38896	3.38896	5.88392
凌影	133	79.48219	5.80291	3.20800	3.20800	5.80291
洪辰	132	1015.44499	5.31454	4.14074	4.14074	5.31454
灵智	131	144.11437	4.25304	2.85828	4.25304	2.85828
穆力	129	66.47412	5.37991	3.00366	3.00366	5.37991
墨承	128	969.61157	5.03498	4.07979	4.07979	5.03498
扫向	128	42.72256	5.48163	2.47614	2.47614	5.48163
王尘	128	199.21423	5.03147	4.08013	4.08013	5.03147
炸响	126	103.64228	4.13440	2.89725	4.13440	2.89725
无匹	123	86.68321	3.42956	1.92641	3.42956	1.92641
灵液	122	45.35064	3.82245	1.55532	1.55532	3.82245
沙铁	121	297.61821	5.44203	4.04500	4.04500	5.44203
宋清	118	844.74461	5.49794	3.81795	3.81795	5.49794
帝品	117	57.11346	4.45930	1.40527	4.45930	1.40527
木战	117	89.92825	5.05461	3.69975	3.69975	5.05461
曹单	117	659.66877	5.18275	4.18211	4.18211	5.18275
骨幽	116	164.61566	5.26953	4.15070	4.15070	5.26953
厉喝	115	71.98572	2.87020	2.45541	2.87020	2.45541
萧潇	114	46.36612	4.70181	4.03563	4.03563	4.70181
柳席	113	237.33623	5.50112	3.68420	3.68420	5.50112
熊战	113	202.12515	5.43106	3.90022	3.90022	5.43106
雏丹	112	243.84641	3.93812	1.74190	1.74190	3.93812
玉盒	111	523.88429	4.51185	3.98203	4.51185	3.98203
血雾	110	43.46335	4.44146	4.13778	4.44146	4.13778
龙凰	110	109.27999	4.34226	2.53366	4.34226	2.53366
雷赢	109	456.03495	4.41428	3.00831	3.00831	4.41428
漠铁	109	205.79840	4.48240	1.22615	4.48240	1.22615
姓命	109	114.11610	4.76615	3.26122	4.76615	3.26122
范凌	108	478.62366	5.76513	3.14951	3.14951	5.76513
烛坤	107	8662.18371	5.50297	3.11145	3.11145	5.50297
残图	107	481.28951	4.64403	4.09766	4.64403	4.09766
慕兰	106	218.57897	4.01269	1.55352	4.01269	1.55352
卡岗	105	6699.58474	5.12185	3.78908	3.78908	5.12185
